char* first_name,char* last_name,int overall_rating,int age,int jersey_number,int team_id,int pos_id,int speed,int strength,int toughness,int carrying,int catching,int throwAccuracy,int jukeMove,int kickAccuracy,int kickReturn,int block,int coverage,int tackle
Carson,Schwesinger,75,22,49,5,12,87,72,90,64,68,6,58,21,10,35,66,83
Devin,Bush,75,27,30,5,17,87,74,86,56,63,6,41,13,10,34,64,87
Maliek,Collins,75,30,96,5,3,70,84,88,31,31,6,16,17,9,40,22,82
Martin,Emerson Jr,75,24,1,5,2,89,65,83,60,67,12,70,13,42,27,75,52
Cornelius,Lucas III,74,34,71,5,11,69,83,65,40,27,6,10,11,10,79,12,26
Dylan,Sampson,74,20,22,5,4,92,65,86,88,66,21,81,28,70,39,24,28
Joe,Tryon-Shoyinka,74,26,90,5,15,82,81,83,56,55,11,42,17,10,38,48,81
Quinshon,Judkins,74,21,10,5,4,90,77,92,93,71,23,81,22,45,38,30,39
Damontae,Kazee,73,32,23,5,5,87,68,82,73,77,6,76,25,76,23,73,65
Ronnie,Hickman,73,23,33,5,5,86,65,85,60,64,24,68,12,45,30,74,71
Cedric,Tillman,72,25,19,5,20,88,70,83,74,86,17,76,15,45,45,10,35
DeAndre,Carter,72,32,2,5,20,88,60,78,69,85,13,80,15,80,34,19,35
Ethan,Pocic,72,30,55,5,1,71,88,87,28,34,6,20,12,10,85,12,36
Mike,Hall Jr,72,22,51,5,3,81,79,87,36,33,6,34,12,10,32,24,83
Nik,Needham,72,28,25,5,2,87,56,80,60,71,6,72,11,63,26,73,63
Dustin,Hopkins,71,34,7,5,6,73,61,65,40,35,30,10,74,10,18,15,28
Harold,Fannin Jr.,71,21,88,5,19,82,75,90,75,83,63,74,32,30,60,24,30
Joe,Flacco,71,40,15,5,14,75,66,92,59,31,82,44,24,10,17,18,29
Cameron,Mitchell,70,23,29,5,2,90,61,82,54,62,12,73,19,70,12,70,40
Cameron,Thomas,70,25,99,5,15,78,77,85,41,39,6,39,14,10,36,30,83
Dawand,Jones,70,24,79,5,11,61,95,91,33,22,6,12,9,10,69,9,40
Deshaun,Watson,70,29,4,5,14,84,69,88,65,51,79,79,27,10,31,18,34
Isaiah,McGuire,70,24,57,5,7,79,79,84,35,34,6,38,15,10,32,36,78
Jowon,Briggs,70,24,97,5,3,72,88,88,46,48,6,36,19,15,32,23,82
Zak,Zinter,70,24,70,5,8,63,88,96,40,22,7,16,11,10,78,9,44
David,Bell,69,24,18,5,20,86,68,83,79,85,17,74,22,33,34,17,21
Jamari,Thrash,69,24,80,5,20,90,56,85,73,82,17,79,20,35,34,21,28
Julian,Okwara,69,27,53,5,7,85,81,87,57,54,6,36,11,10,30,48,73
Pierre,Strong Jr,69,26,20,5,4,92,66,86,82,63,37,83,16,69,41,27,38
Nathaniel,Watson,68,25,40,5,9,84,68,86,54,62,11,54,14,25,43,61,85
Kenny,Pickett,67,27,8,5,14,81,68,88,51,45,81,70,40,12,18,10,29
Mohamoud,Diabate,67,24,43,5,12,87,69,84,47,49,6,55,16,10,37,50,79
Myles,Harden,67,23,26,5,2,89,59,88,55,71,21,75,11,55,27,63,74
Shedeur,Sanders,67,23,12,5,14,78,65,96,61,32,80,65,27,22,21,32,37
Tony,Brown II,67,30,11,5,2,91,58,81,61,57,6,73,12,45,26,69,47
Winston,Reid,67,26,59,5,17,85,77,87,62,62,10,64,15,15,30,52,79
Alex,Wright,66,24,91,5,7,79,73,87,44,42,6,40,15,10,32,27,77
Dillon,Gabriel,66,24,5,5,14,83,58,90,62,41,81,59,37,21,24,36,35
Gage,Larvadain,66,22,84,5,20,90,62,82,71,78,17,78,18,75,32,15,25
Luke,Wypler,66,24,56,5,1,68,85,83,34,29,6,23,15,10,76,10,26
Chigozie,Anusiem,65,24,35,5,2,91,60,87,57,64,6,70,14,45,30,64,62
KJ,Henry,65,26,52,5,15,85,68,89,45,39,7,48,12,10,33,36,76
Adin,Huntington,64,23,66,5,7,82,81,87,38,34,6,21,15,10,36,29,74
Brenden,Bates,64,25,82,5,19,82,75,88,72,74,16,59,12,10,62,10,34
Javion,Cohen,63,23,67,5,8,61,83,83,23,29,28,47,29,28,76,37,40
Blake,Whiteheart,62,25,86,5,19,82,72,88,71,75,25,70,14,40,61,11,42
Dartanyan,Tinsley,62,24,65,5,8,56,88,81,24,23,6,10,13,10,73,11,34
Donovan,McMillon,62,23,31,5,5,90,65,87,61,69,6,61,15,78,30,63,65
Troy,Hairston,62,26,36,5,4,80,80,88,66,59,6,66,14,35,65,28,72
Anthony,Kendall,61,25,44,5,2,91,59,75,44,63,13,74,9,55,20,66,44
Julian,Pearl,61,25,60,5,18,70,86,83,30,35,16,38,20,5,75,11,37
Jason,Ivey,60,24,72,5,18,67,78,84,20,12,6,10,16,10,75,11,20
Sam,Kamara,60,27,92,5,3,72,78,82,45,38,6,25,26,10,40,32,75
Rex,Sunahara,58,28,50,5,10,69,62,82,58,55,12,21,18,10,49,20,38
Jackson,Barton,57,30,68,5,18,66,85,87,35,37,6,10,11,10,70,12,40
Tristan,Wirfs,96,26,78,6,11,77,94,93,37,37,6,16,12,10,91,13,38
Mike,Evans,93,32,13,6,20,92,78,94,80,95,20,83,24,55,55,34,39
Vita,Vea,93,30,50,6,3,74,98,97,68,40,16,59,16,10,47,32,93
Antoine,Winfield Jr,91,27,31,6,5,90,59,87,67,77,6,83,20,83,27,84,77
Lavonte,David,88,35,54,6,12,86,76,89,60,76,6,35,12,10,37,71,89
Bucky,Irving,87,23,7,6,4,89,65,91,92,70,22,94,25,76,30,18,31
Jamel,Dean,86,28,35,6,2,92,66,88,59,70,6,71,28,65,27,86,76
Baker,Mayfield,85,30,6,6,14,86,69,98,61,64,88,67,16,10,28,11,32
Chris,Godwin Jr,85,29,14,6,20,88,72,93,70,95,15,82,21,48,39,20,27
Luke,Goedeke,82,26,67,6,18,63,88,85,48,47,6,26,25,10,87,11,35
YaYa,Diaby,80,26,0,6,15,89,74,79,47,45,6,45,23,25,34,38,84
Zyon,McCollum,80,26,27,6,2,93,60,75,63,72,11,71,20,45,24,78,50
Chase,McLaughlin,79,29,4,6,6,73,39,75,45,40,26,15,85,10,15,18,20
Cody,Mauch,79,26,69,6,16,70,87,95,55,50,43,41,15,10,82,11,45
Rachaad,White,79,26,1,6,4,90,71,85,89,76,15,88,18,75,38,15,30
Cade,Otton,77,26,88,6,19,81,77,80,72,88,20,60,19,25,64,18,39
Calijah,Kancey,76,24,94,6,3,83,84,84,43,52,6,42,12,10,37,24,82
Haason,Reddick,76,30,5,6,7,85,81,84,77,70,6,66,19,59,31,60,82
Riley,Dixon,76,32,92,6,13,72,56,79,50,38,31,51,79,10,18,18,34
Anthony,Walker Jr,75,30,3,6,17,85,78,96,61,70,6,48,22,10,32,58,85
Benjamin,Morrison,75,21,21,6,2,92,57,82,67,77,8,78,22,81,30,74,49
Deion,Jones,75,30,45,6,12,87,73,78,56,74,6,38,19,10,35,73,76
Emeka,Egbuka,75,22,9,6,20,90,60,88,76,84,22,80,21,75,34,22,30
Tykee,Smith,75,24,23,6,5,90,58,91,60,75,30,72,10,65,25,77,69
Christian,Izien,74,25,29,6,2,92,52,85,57,68,24,70,11,64,23,72,66
Jacob,Parrish,74,21,25,6,2,94,65,90,56,73,13,77,32,55,30,73,63
Jalen,McMillan,74,23,15,6,20,90,60,86,75,82,15,80,19,71,37,14,29
Anthony,Nelson,73,28,98,6,7,80,77,86,33,47,6,27,19,9,31,41,83
Bryce,Hall,73,27,34,6,2,89,57,83,64,70,6,71,14,40,27,73,65
Chris,Braswell,73,23,43,6,15,86,79,84,48,51,6,46,17,10,31,44,80
Graham,Barton,73,23,62,6,1,74,86,88,28,32,7,14,24,10,80,12,37
Greg,Gaines,73,29,96,6,3,71,87,90,45,39,6,24,12,10,42,21,78
Sterling,Shepard,73,32,17,6,20,87,68,86,75,80,20,84,22,73,43,20,33
Trey,Palmer,73,24,10,6,20,95,54,88,72,83,10,73,15,77,43,36,46
Logan,Hall,72,25,90,6,3,76,85,86,35,37,6,29,15,10,35,24,82
Adam,Gotsis,70,32,97,6,3,74,82,81,43,39,6,20,17,9,29,22,79
Kindle,Vildor,70,27,22,6,2,89,56,80,58,68,24,77,37,60,25,67,55
Ben,Bredeson,69,27,68,6,8,71,86,89,20,12,6,10,16,10,74,11,20
David,Walker,69,25,51,6,7,83,78,89,58,60,6,59,20,10,36,59,75
Elijah,Roberts,69,23,95,6,3,80,83,92,40,28,15,31,25,31,37,33,76
Josh,Hayes,69,26,32,6,2,91,58,86,55,67,6,67,15,50,28,70,53
Tez,Johnson,69,23,83,6,20,89,58,78,75,82,45,83,22,77,40,25,19
Michael,Jordan,68,27,60,6,8,69,79,84,40,30,6,10,22,10,76,14,34
Rakim,Jarrett,68,24,18,6,20,91,65,90,72,80,10,72,15,71,42,20,27
SirVocea,Dennis,68,25,8,6,17,85,66,84,61,63,44,63,12,30,41,62,81
Elijah,Klein,67,25,79,6,16,62,83,82,42,31,15,19,24,10,77,12,33
Jose,Ramirez,67,26,33,6,15,81,71,84,45,37,6,52,10,10,38,30,78
Dennis,Houston,66,26,89,6,20,89,65,86,75,80,20,73,14,69,40,19,31
Kaevon,Merriweather,66,25,26,6,5,85,63,88,52,63,11,64,13,35,34,63,68
Ryan,Miller,66,25,81,6,20,88,63,81,70,78,11,79,17,43,34,11,30
Sean,Tucker,66,23,44,6,4,92,76,88,87,69,21,72,21,65,38,18,35
Sua,Opeta,66,29,76,6,8,71,92,83,23,28,6,28,22,10,72,16,48
Ko,Kieft,65,27,41,6,19,73,75,92,72,74,16,59,12,10,64,10,34
Markees,Watts,65,25,58,6,15,81,71,82,51,52,6,46,17,10,37,48,72
Mike,Greene,65,26,91,6,3,67,83,79,31,40,11,10,11,10,34,18,79
Tyrek,Funderburk,65,24,24,6,2,92,58,81,61,60,6,72,15,35,26,64,51
J.J.,Roberts,64,23,36,6,5,91,62,88,62,62,6,64,14,78,30,65,66
Luke,Haggard,64,25,72,6,16,67,84,84,27,20,6,17,20,9,72,13,29
Rashad,Wisdom,64,24,38,6,5,87,57,85,63,68,15,74,13,60,24,58,67
Charlie,Heck,63,28,77,6,11,67,84,93,30,35,6,34,12,10,76,14,36
Kameron,Johnson,63,23,19,6,20,90,63,79,69,75,26,79,13,84,32,24,26
Payne,Durham,63,25,87,6,19,77,73,89,72,78,20,66,19,18,59,18,44
Shilo,Sanders,63,25,28,6,5,86,60,84,60,67,6,61,14,41,30,62,63
Antonio,Grier Jr,62,25,48,6,12,85,74,83,44,48,6,36,12,10,29,53,78
C.J.,Brewer,62,27,52,6,3,73,80,78,45,49,7,19,9,5,36,24,73
Desmond,Watson,62,22,56,6,3,41,96,79,30,30,6,15,14,10,37,18,81
Devin,Culp,62,25,82,6,19,90,68,84,71,76,10,68,15,18,51,18,33
Raiqwon,O'Neal,61,25,75,6,8,71,81,83,32,30,19,10,19,10,69,18,34
Jake,Majors,59,23,65,6,1,65,83,82,21,23,7,10,13,10,74,13,25
Kyle,Trask,59,27,2,6,14,69,57,87,62,33,77,51,38,14,19,13,26
Michael,Pratt,59,23,11,6,14,81,66,92,65,38,76,63,19,10,18,10,17
Ben,Scott,58,24,66,6,1,68,84,83,23,23,6,10,12,10,73,12,24
Eric,Banks,58,27,93,6,7,72,74,79,32,35,35,36,12,10,30,36,77
Evan,Deckers,58,26,86,6,10,67,62,82,65,67,6,45,18,10,44,19,39
Budda,Baker,92,29,3,7,5,90,72,93,72,75,12,81,20,66,29,83,81
Trey,McBride,92,25,85,7,19,87,73,87,75,98,10,71,20,35,56,18,38
James,Conner,85,30,6,7,4,89,83,92,89,68,14,84,16,55,53,13,33
Josh,Sweat,85,28,10,7,15,85,81,84,47,50,6,35,12,10,32,43,88
Paris,Johnson Jr,84,24,70,7,11,73,89,87,35,32,6,10,26,10,85,11,40
Calais,Campbell,82,39,93,7,3,72,89,89,46,41,6,15,30,10,32,24,81
Jalen,Thompson,81,27,34,7,5,90,60,85,58,78,6,70,21,60,25,70,82
Garrett,Williams,80,24,21,7,2,88,63,84,55,72,48,73,17,67,21,80,65
Hjalte,Froholdt,80,29,72,7,1,71,91,86,30,42,6,19,20,10,85,12,44
Kyler,Murray,79,28,1,7,14,92,59,85,69,50,83,86,15,10,12,20,34
Marvin,Harrison Jr,79,23,18,7,20,93,57,88,75,84,10,80,15,50,35,21,24
Sean,Murphy-Bunting,79,28,23,7,2,91,59,83,63,76,6,74,26,60,22,77,47
Mack,Wilson Sr,78,27,2,7,12,87,79,88,59,69,39,54,14,10,36,67,83
Michael,Wilson,78,25,14,7,20,89,72,80,72,89,20,76,24,60,45,13,42
Dalvin,Tomlinson,77,31,94,7,3,70,89,91,27,34,6,28,17,14,39,26,83
Walter,Nolen,77,21,97,7,3,81,87,90,43,41,11,32,18,29,34,20,83
Evan,Brown,76,28,63,7,8,69,90,84,29,25,5,11,12,9,79,13,35
Trey,Benson,76,23,33,7,4,93,77,82,95,70,20,85,14,77,40,31,49
Zaven,Collins,76,26,25,7,7,85,76,85,56,73,35,34,17,10,36,69,87
Zay,Jones,76,30,17,7,20,89,76,78,73,88,29,78,17,81,45,20,34
Blake,Gillikin,75,27,12,7,13,73,49,60,30,35,21,16,83,10,7,18,28
Will,Johnson,75,22,0,7,2,89,62,81,69,77,6,76,21,53,25,75,57
Baron,Browning,74,26,5,7,7,86,75,83,49,50,14,33,13,10,34,60,79
Bilal,Nichols,74,28,92,7,3,73,87,87,42,44,6,37,10,10,38,24,85
Chad,Ryland,74,25,38,7,6,73,40,63,32,35,30,10,76,10,11,12,24
Jonah,Williams,74,27,73,7,18,69,85,87,43,34,6,28,16,10,80,18,39
Justin,Jones,74,29,98,7,3,72,84,84,27,25,6,25,12,45,38,25,79
Max,Melton,74,23,16,7,2,93,60,83,55,77,19,74,12,65,28,74,52
Darius,Robinson,73,23,56,7,3,74,87,85,29,25,19,17,21,8,32,33,78
Greg,Dortch,73,27,4,7,20,90,43,76,68,87,23,85,14,82,29,22,23
Jordan,Burch,73,23,52,7,7,83,81,83,52,52,11,51,23,35,35,42,82
Kelvin,Beachum,73,36,68,7,11,63,87,71,30,42,6,20,17,10,74,20,45
Starling,Thomas V,73,25,24,7,2,93,56,79,52,65,24,73,18,64,30,72,63
BJ,Ojulari,72,23,9,7,15,86,75,76,30,29,6,41,21,10,47,46,76
Akeem,Davis-Gaither,71,27,27,7,17,87,70,88,62,63,12,63,19,40,26,64,79
Elijah,Jones,71,25,28,7,2,91,48,84,57,77,18,71,10,35,24,70,65
Emari,Demercado,71,26,31,7,4,91,65,85,90,67,18,79,14,78,47,16,35
Kei'Trel,Clark,71,24,13,7,2,92,51,74,59,73,6,79,11,77,18,69,45
Michael,Carter,71,26,22,7,4,87,66,84,89,69,31,85,16,80,32,13,27
Quez,Watkins,71,27,16,7,20,93,41,78,72,84,10,75,12,79,33,14,29
Xavier,Thomas,71,25,54,7,15,85,78,84,42,60,8,50,17,10,36,40,79
Dadrion,Taylor-Demerson,70,24,42,7,5,92,57,84,71,70,20,78,11,55,22,67,69
Dante,Stills,70,25,55,7,3,76,80,84,40,44,15,35,8,10,32,26,78
Denzel,Burke,70,22,29,7,2,90,61,83,56,71,17,71,25,77,30,70,51
Jacoby,Brissett,70,32,7,7,14,79,73,90,65,27,81,62,20,14,26,15,39
Jaylon,Jones,70,27,37,7,2,92,63,78,60,57,6,69,12,30,29,68,64
Mykal,Walker,70,28,43,7,12,87,72,88,47,68,6,60,14,10,36,63,81
Royce,Newman,70,28,71,7,16,67,83,72,27,22,6,12,12,10,74,12,23
Zonovan,Knight,70,24,35,7,4,88,69,85,83,66,23,82,15,78,31,11,36
Cody,Simon,69,23,50,7,12,87,73,88,61,64,6,56,21,10,35,60,80
Isaiah,Adams,69,25,74,7,16,65,86,90,29,32,26,32,11,5,78,11,40
L.J.,Collier,69,29,91,7,3,77,83,84,38,40,6,19,10,10,32,22,80
DeeJay,Dallas,68,26,20,7,4,88,75,83,90,71,35,76,16,76,46,29,42
Jammie,Robinson,68,24,26,7,5,86,67,88,64,70,23,75,11,69,40,66,72
Nick,Leverett,68,28,60,7,16,67,85,76,25,28,6,19,11,10,72,10,34
Owen,Pappoe,68,24,44,7,17,89,77,82,55,62,17,70,12,30,32,64,76
Tip,Reiman,68,23,87,7,19,84,77,87,75,80,10,62,19,18,64,18,34
Christian,Jones,67,25,75,7,18,71,84,85,42,32,16,10,10,10,77,11,33
Simi,Fehoko,67,27,80,7,20,90,66,83,75,81,12,72,15,40,38,33,43
Darren,Hall,66,25,30,7,5,90,60,84,53,65,6,66,15,50,28,66,59
Jon,Gaines II,66,25,59,7,1,72,77,76,28,25,6,15,12,10,77,11,25
Kitan,Crawford,66,23,36,7,5,92,64,87,62,62,6,65,15,83,30,66,65
Tejhaun,Palmer,66,25,83,7,20,91,69,85,66,80,17,76,15,34,36,17,29
Xavier,Weaver,66,24,89,7,20,91,56,84,76,78,32,79,18,72,31,15,27
Elijah,Higgins,65,24,84,7,19,89,69,90,71,78,10,72,18,50,37,17,24
Hayden,Conner,65,23,58,7,8,65,86,88,38,21,6,18,22,20,74,11,35
Josiah,Deguara,65,28,47,7,19,85,78,87,74,81,25,59,16,30,61,13,41
Joey,Blount,64,26,32,7,5,92,65,88,61,62,11,75,14,40,26,61,60
Jake,Curhan,63,27,64,7,8,57,81,78,37,31,6,10,17,10,77,10,32
Aaron,Brewer,62,35,46,7,10,73,68,69,50,55,6,35,13,10,52,30,58
Clayton,Tune,62,26,15,7,14,84,60,91,62,28,77,60,14,50,19,14,23
Andre,Baccellia,61,28,82,7,20,94,51,67,62,72,21,77,14,76,26,19,20
Benton,Whitley,61,26,49,7,7,79,76,86,45,47,6,55,13,10,33,38,72
Vi,Jones,58,27,53,7,17,88,61,80,55,56,11,60,15,25,36,54,73
Derwin,James Jr,93,29,3,8,5,90,80,91,72,78,14,77,15,78,28,84,80
Rashawn,Slater,93,26,70,8,11,75,93,88,24,25,6,10,15,10,83,11,35
Khalil,Mack,87,34,52,8,15,85,87,92,61,62,6,54,22,10,37,55,86
Justin,Herbert,86,27,10,8,14,86,71,95,68,39,87,67,16,12,21,15,36
Ladd,McConkey,84,23,15,8,20,92,57,82,71,89,10,84,12,78,33,15,34
Daiyan,Henley,83,25,0,8,17,88,65,85,64,72,6,71,44,60,36,75,89
Joe,Alt,82,22,76,8,18,71,89,95,59,57,42,39,14,15,86,14,44
Najee,Harris,82,27,22,8,4,88,82,93,95,67,35,85,15,53,50,24,44
Josh,Harris,81,36,47,8,10,77,68,85,71,55,10,40,13,10,56,22,56
Mekhi,Becton Sr,81,26,73,8,16,71,93,85,40,35,6,10,20,10,83,14,42
J.K.,Scott,80,28,16,8,13,75,51,67,36,21,27,17,80,10,17,14,30
Tarheeb,Still,80,23,29,8,2,89,56,76,60,79,9,72,17,80,15,79,60
Cameron,Dicker,79,25,11,8,6,76,51,70,29,28,23,10,89,10,15,10,34
Elijah,Molden,79,26,2,8,5,90,57,87,63,65,6,80,13,60,29,78,70
Alohi,Gilman,78,27,32,8,5,87,63,92,58,73,6,71,17,45,26,73,69
Donte,Jackson,78,29,26,8,2,93,49,67,63,79,6,79,13,77,24,75,49
Tony,Jefferson,78,33,23,8,5,87,74,80,55,64,6,70,19,40,27,76,74
Omarion,Hampton,77,22,8,8,4,90,78,94,91,73,17,82,18,76,44,32,43
Zion,Johnson,77,25,77,8,8,66,90,89,34,25,6,10,18,10,82,11,34
Denzel,Perryman,76,32,6,8,12,82,84,88,65,60,6,30,20,10,34,57,82
Quentin,Johnston,76,23,1,8,20,93,70,87,72,86,15,79,18,40,38,16,31
Benjamin,St-Juste,75,27,24,8,2,91,60,74,56,63,6,69,13,35,27,73,65
Teair,Tart,75,28,90,8,3,71,88,88,40,34,6,10,13,15,37,18,82
Tuli,Tuipulotu,75,22,45,8,7,77,88,90,33,35,7,31,28,10,39,49,80
Tyler,Conklin,75,30,83,8,19,83,66,84,74,90,15,67,17,10,57,16,28
Andre,James,74,28,78,8,1,67,83,83,37,29,6,10,21,10,77,14,32
Da'Shawn,Hand,74,29,91,8,3,76,88,85,28,27,6,29,16,10,33,24,84
Will,Dissly,74,29,89,8,19,82,78,85,74,83,19,73,14,25,65,17,45
Bradley,Bozeman,73,30,75,8,1,71,85,90,20,12,6,10,16,10,81,11,20
Bud,Dupree,72,32,48,8,15,83,76,84,50,62,6,46,20,10,32,50,79
Cam,Hart,72,24,20,8,2,91,59,86,66,70,30,75,22,65,30,74,62
Nyheim,Hines,72,28,31,8,4,90,62,81,85,73,15,84,13,91,26,15,27
Tre,Harris,72,23,9,8,20,88,68,89,71,82,45,81,25,69,42,26,21
Ja'Sir,Taylor,71,26,36,8,2,92,53,74,60,65,6,74,18,70,25,69,50
Jalen,Reagor,71,26,88,8,20,92,62,86,69,78,15,81,16,82,34,18,28
Junior,Colson,71,22,25,8,12,86,75,94,57,55,19,63,15,35,47,67,83
Derius,Davis,70,24,12,8,20,94,63,82,72,82,10,80,16,87,31,23,34
Jamaree,Caldwell,70,25,99,8,3,67,87,90,36,19,9,19,26,29,36,13,75
Justin,Eboigbe,70,24,92,8,3,66,83,85,52,44,13,29,17,21,31,43,82
KeAndre,Lambert-Smith,70,23,84,8,20,93,60,84,75,80,19,72,30,74,35,62,44
Trey,Pipkins III,70,28,79,8,11,69,83,85,42,47,6,10,11,10,77,12,40
Troy,Dye,70,28,43,8,17,87,71,89,55,61,12,62,19,35,31,63,79
Hassan,Haskins,69,25,28,8,4,89,77,84,91,66,20,77,14,66,45,22,41
Kyle,Kennard,69,23,54,8,7,81,78,87,45,48,12,35,25,27,35,50,78
Raheim,Sanders,69,22,35,8,4,90,72,82,88,67,14,80,19,64,36,28,34
Scott,Matlock,69,25,44,8,4,74,85,79,70,68,10,41,16,10,79,17,76
Brenden,Rice,68,23,82,8,20,89,61,86,71,79,20,76,17,80,40,19,20
Deane,Leonard,68,25,33,8,2,93,60,79,55,57,12,70,15,35,27,66,62
Oronde,Gadsden II,68,22,86,8,19,84,73,84,73,79,22,68,16,33,51,24,29
Otito,Ogbonnia,68,25,93,8,3,62,86,85,24,26,6,24,19,9,39,28,79
Jamaree,Salyer,67,25,68,8,18,63,88,84,30,23,6,10,14,10,74,10,33
Kimani,Vidal,67,24,30,8,4,90,70,85,87,68,15,76,16,72,27,15,33
R.J.,Mickens,67,24,27,8,5,89,63,90,60,66,6,61,15,42,30,67,66
Trikweze,Bridges,67,24,31,8,2,91,62,92,59,73,18,72,28,78,30,70,52
Taylor,Heinicke,66,32,4,8,14,83,58,86,62,41,79,65,18,5,12,7,25
Branson,Taylor,65,23,71,8,8,63,85,86,24,18,6,10,16,10,75,14,30
Del'Shawn,Phillips,65,28,53,8,9,87,72,83,58,65,6,62,14,10,33,59,76
Dez,Fitzpatrick,65,27,87,8,20,89,59,87,70,78,15,72,40,50,32,17,29
Jaret,Patterson,65,25,34,8,4,85,61,84,79,66,16,83,12,55,31,31,37
Naquan,Jones,65,27,96,8,3,61,82,78,42,33,6,15,15,25,43,13,78
Caleb,Murphy,64,25,50,8,7,79,70,83,45,47,12,64,10,15,33,42,71
Kendall,Williamson,64,25,40,8,5,91,63,83,57,62,12,69,15,44,28,66,47
Nikko,Reed,64,22,46,8,2,90,62,81,57,65,6,72,15,50,25,68,53
Christopher,Hinton,63,24,98,8,3,63,84,85,41,24,6,22,11,10,38,10,80
Garmon,Randolph,63,24,97,8,15,80,78,83,33,34,6,31,13,10,33,39,76
Myles,Purchase,63,22,49,8,2,89,61,76,55,64,6,70,13,52,25,69,50
Trey,Lance,63,25,5,8,14,87,71,89,68,51,77,76,18,43,27,36,52
Kana'i,Mauga,62,25,56,8,17,83,75,86,55,55,7,48,24,15,35,56,72
Karsen,Barnhart,62,24,61,8,16,65,82,88,29,19,6,10,14,15,74,14,55
Nash,Jones,62,23,62,8,16,62,87,82,26,25,6,10,11,10,73,13,24
TeRah,Edwards,62,24,94,8,3,65,87,88,37,36,6,19,12,10,36,20,76
Jordan,Oladokun,61,23,37,8,2,85,59,83,56,66,6,69,17,55,25,69,53
Tucker,Fisk,59,26,42,8,19,65,79,87,73,68,10,60,12,25,63,14,58
Stevo,Klotz,58,23,41,8,19,79,64,82,70,74,10,58,12,15,58,15,38
Chris,Jones,97,31,95,9,3,73,96,93,29,29,6,31,17,9,32,26,91
Patrick,Mahomes,95,29,15,9,14,85,70,99,66,59,92,76,10,10,23,18,26
Creed,Humphrey,94,27,52,9,1,74,90,98,34,25,6,10,11,10,94,9,39
Trent,McDuffie,94,24,22,9,2,92,61,86,59,69,6,73,21,68,25,94,68
Travis,Kelce,93,35,87,9,19,82,79,94,72,95,55,78,32,6,62,13,45
Trey,Smith,90,26,65,9,16,71,95,92,32,24,6,10,22,10,94,11,32
Drue,Tranquill,84,30,23,9,17,88,77,93,63,59,6,56,20,10,33,69,86
George,Karlaftis,84,24,56,9,7,80,85,91,42,47,6,33,14,10,31,20,87
Leo,Chenal,84,24,54,9,9,88,82,90,68,52,18,62,21,25,40,67,86
Isiah,Pacheco,83,25,10,9,4,93,80,89,95,72,28,84,14,80,32,26,37
Nick,Bolton,83,25,32,9,12,87,74,89,54,64,6,42,11,10,31,66,88
Rashee,Rice,83,25,4,9,20,90,71,88,72,94,22,80,20,40,45,14,32
Harrison,Butker,82,30,7,9,6,74,44,63,26,30,28,28,91,10,17,15,15
Kareem,Hunt,80,30,29,9,4,86,81,89,93,71,20,84,16,55,58,21,31
Marquise,Brown,80,28,5,9,20,94,44,86,72,86,22,86,16,78,30,22,18
Xavier,Worthy,80,22,1,9,20,99,47,78,73,84,51,84,20,83,26,16,19
Bryan,Cook,78,25,6,9,5,90,67,89,61,70,6,64,17,35,30,70,78
Mike,Danna,78,27,51,9,15,81,82,86,31,31,6,31,13,6,30,21,90
Jaylen,Watson,77,26,35,9,2,93,66,80,59,64,14,73,17,45,29,77,58
Kristian,Fulton,77,26,8,9,2,89,59,83,56,61,6,71,11,42,18,80,48
Chamarri,Conner,76,25,27,9,5,89,66,87,59,69,12,69,14,55,33,75,66
Charles,Omenihu,76,28,90,9,7,74,83,84,41,46,6,28,15,10,31,41,78
Jawaan,Taylor,76,27,74,9,18,67,87,84,30,35,6,10,20,10,70,12,38
Elijah,Mitchell,75,27,25,9,4,88,71,81,94,69,16,84,19,76,33,16,27
Josh,Simmons,75,22,71,9,11,71,88,86,30,18,6,10,15,10,80,14,34
Joshua,Williams,75,25,2,9,2,89,59,84,64,71,6,72,13,55,29,75,60
JuJu,Smith-Schuster,75,28,9,9,20,87,72,91,70,85,19,80,17,77,48,41,43
Matt,Araiza,75,25,14,9,13,83,49,76,35,27,25,32,79,10,16,13,34
Noah,Gray,75,26,83,9,19,85,69,85,78,89,37,67,18,28,55,16,37
Ashton,Gillotte,73,22,97,9,7,84,78,91,38,35,11,37,21,28,37,32,79
Jaden,Hicks,73,23,21,9,5,89,67,88,68,71,30,70,15,50,33,72,69
Nazeeh,Johnson,73,27,13,9,2,93,56,86,61,68,12,72,14,35,30,71,55
Nohl,Williams,73,22,20,9,2,89,63,92,68,79,6,72,18,79,30,75,64
Felix,Anudike-Uzomah,72,23,91,9,15,81,72,82,34,32,6,36,29,10,28,27,78
Kingsley,Suamataia,72,22,76,9,8,71,89,85,31,35,12,15,25,10,78,18,40
Skyy,Moore,72,24,24,9,20,89,69,80,79,83,37,83,18,60,36,29,30
Jalen,Royals,71,22,11,9,20,92,64,86,75,81,25,75,29,79,38,30,23
Jaylon,Moore,71,27,77,9,11,63,84,73,46,38,6,20,11,10,75,13,44
Jerry,Tillery,71,28,99,9,3,75,85,81,35,30,6,25,24,10,48,25,82
Mike,Pennel,71,34,69,9,3,67,85,75,40,32,6,15,16,10,41,18,84
